iata,icao,latitude,longitude,name,iso_country
GKA,AYGA,-6.081689834590001,145.391998291,Goroka Airport,PG
GEW,AYGC,-9.2263,148.4949,Gewoia Airport,PG
GUG,AYGF,-8.1286,146.8722,Guari Airport,PG
GRL,AYGG,-7.980713,147.213461,Garasa Airport,PG
GAR,AYGI,-7.875625,147.141266,Garaina Airport,PG
GAZ,AYGJ,-9.225918,152.944352,Guasopa Airport,PG
GOE,AYGL,-5.527716614,151.5733333,Gonaili Airport,PG
GUR,AYGN,-10.3114995956,150.333999634,Gurney Airport,PG
GAP,AYGP,-6.053196,145.959047,Gusap Airport,PG
PNP,AYGR,-8.80453968048,148.309005737,Girua Airport,PG
GBC,AYGS,-6.1028,141.7393,Gasuke Airport,PG
GMI,AYGT,-6.27111005783,150.330993652,Gasmata Island Airport,PG
AKG,AYGU,-3.560504,142.217307,Anguganak Airport,PG
GVI,AYGV,-3.9022428989400004,141.170516968,Green River Airport,PG
GOC,AYGX,-9.0021,148.2364,Gora Airstrip,PG
HBD,AYHB,-6.32,142.4893,Habi Airport,PG
HNI,AYHE,-7.4223,146.4276,Heiweni Airport,PG
HYF,AYHF,-3.69838,143.057902,Hayfields Airport,PG
HNN,AYHH,-6.2457,142.1771,Honinabi Airport,PG
HKN,AYHK,-5.463846,150.407327,Hoskins Airport,PG
HIT,AYHO,-6.9406,143.059,Haivaro Airport,PG
HWA,AYHU,-7.392994,146.003487,Hawabango Airport,PG
IIS,AYIA,-4.49972009659,154.225997925,Nissan Island Airport,PG
IDN,AYID,-6.22663,147.244,Indagen Airport,PG
IMN,AYII,-6.7524,146.1072,Imane Airport,PG
KGM,AYIM,-5.671,141.03,Kungim Airport,PG
IMD,AYIO,-3.328,141.1573,Imonda Airport,PG
KIE,AYIQ,-6.305727,155.728249,Aropa Airport,PG
IAL,AYIU,-6.2782,143.9944,Ialibu Airport,PG
WSA,AYIW,-8.2836,142.8697,Wasua Airport,PG
WIU,AYIX,-4.689522,149.440112,Witu Airport,PG
MPX,AYIY,-4.903055555560001,141.620833333,Miyanmin Airport,PG
KGH,AYJO,-8.5289,147.4603,Yongai Airport,PG
JOP,AYJS,-4.74708333333,145.007083333,Josephstaal Airport,PG
LSA,AYKA,-8.505820274353027,151.08099365234375,Losuia Airport,PG
KBM,AYKB,-6.15547222222,147.191472222,Kabwum,PG
KDR,AYKC,-6.19217,149.54783,Kandrian Airport,PG
KMF,AYKD,-7.64925,145.956944444,Kamina Airport,PG
KPA,AYKG,-5.3883,142.4977,Kopiago Airport,PG
KAQ,AYKH,-8.150694444440001,146.834,Kamulai Airport,PG
UNG,AYKI,-6.1257100105285645,141.28199768066406,Kiunga Airport,PG
KNE,AYKJ,-5.2903,144.7072,Kanainj Airport,PG
KRI,AYKK,-7.42438,144.250076,Kikori Airport,PG
KMA,AYKM,-7.96361017227,145.770996094,Kerema Airport,PG
KKD,AYKO,-8.884679,147.730957,Kokoda Airport,PG
KGW,AYKQ,-9.135916666670001,147.669444444,Kagi Airport,PG
KRX,AYKR,-4.557,145.9404,Kar Kar Airport,PG
KZF,AYKT,-7.50025,146.033833333,Kaintiba Airport,PG
KUQ,AYKU,-7.135083,143.276111,Kuri Airport,PG
KVG,AYKV,-2.57940006256,150.807998657,Kavieng Airport,PG
KWO,AYKW,-7.977006912229999,142.823577881,Kawito Airport,PG
LNV,AYKY,-3.04361009598,152.628997803,Londolovit Airport,PG
LAB,AYLB,-5.7204,148.0566,Lab Lab Airport,PG
KEG,AYLG,-5.83277777778,145.097222222,Keglsugl Airport,PG
KII,AYLI,-9.006528,142.698056,Kibuli Airstrip,PG
LGN,AYLL,-5.5319444444400006,149.734166667,Linga Linga Airport,PG
LNM,AYLN,-7.22313888889,146.227083333,Langimar Airport,PG
LWI,AYLO,-6.3344,146.6458,Lowai Airport,PG
LPN,AYLP,-6.3917,146.3434,Leron Plains Airport,PG
LNG,AYLS,-8.2799,146.2765,Lese Airport,PG
LNC,AYLT,-6.384611111110001,147.368638889,Lengbati Airport,PG
LMI,AYLU,-3.47683951134,142.041292191,Lumi Airport,PG
LSJ,AYLX,-5.3604,147.0177,Long Island Airport,PG
AYM,AYM,24.467,54.6103,Yas Island Seaplane Base,AE
MRM,AYMA,-9.1908,147.6219,Manari Airport,PG
OBM,AYMB,-7.74,147.59,Morobe Airport,PG
MYX,AYMC,-7.21166666667,146.019361111,Menyamya Airport,PG
